BVD,Name,SIC,Industry,RG
IN0011616023,RAYIRTH HOLDING AND TRADING COMPANY PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",275.71021772244166
IN33654FI,LLOYDS ENTERPRISES LIMITED,3316.0,Manufacturing,21.466238060738792
IN113613FI,CONFIDENCE FUTURISTIC ENERGETECH LIMITED,3593.0,Manufacturing,12.455245451750443
IN496275FI,SHRADHA INFRAPROJECTS LIMITED,1531.0,Construction,8.353326900042303
IN0012489136,SAYYAM INVESTMENTS PRIVATE LIMITED,6141.0,"Finance, Insurance, and Real Estate",8.143049822575563
IN31579FI,W.S. INDUSTRIES (INDIA) LIMITED,3699.0,Manufacturing,5.167800572923012
IN0010927145,ARTHMATE FINANCING INDIA PRIVATE LIMITED,2999.0,Manufacturing,4.844639872075107
IN113319FI,WAAREE RENEWABLE TECHNOLOGIES LIMITED,3612.0,Manufacturing,4.664876670294632
IN0000255101,TAMILNADU MAGNESITE LIMITED,3312.0,Manufacturing,4.297202431077235
IN0011379524,MILLENNIUM CONSULTING (INDIA) PRIVATE LIMITED,7375.0,Services,3.655897873863923
IN32052FI,SWISS MILITARY CONSUMER GOODS LIMITED,5099.0,Wholesale Trade,3.6544085772725485
IN0000299966,QUANT MONEY MANAGERS LIMITED,7389.0,Services,3.5872960047782385
IN0000787223,AMBUJ HOTEL AND REAL ESTATE PRIVATE LIMITED,7011.0,Services,3.472912173278896
IN0001950587,CELESTICA (INDIA) PRIVATE LIMITED,3694.0,Manufacturing,3.2876657550103765
IN0004020147,JAI AMBE VINIMAY PRIVATE LIMITED,5085.0,Wholesale Trade,2.9062662808575066
IN0002566358,EDUQUITY CAREER TECHNOLOGIES PRIVATE LIMITED,7371.0,Services,2.64196535253128
IN0000247169,ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,Construction,2.1694328114474266
IN0000226164,MURLIDHAR RATANLAL EXPORTS LTD,5199.0,Wholesale Trade,2.1672057915346286
IN0004904142,YG CUTTING TOOLS CORPORATION PRIVATE LIMITED,3545.0,Manufacturing,2.1139548117729494
IN0006267025,STG LABS INDIA PRIVATE LIMITED,7375.0,Services,1.9568344912908004
IN32198FI,LLOYDS METALS AND ENERGY LIMITED,3399.0,Manufacturing,1.9413827334622615
IN0012775237,RAJHANS NUTRIMENTS PRIVATE LIMITED,2099.0,Manufacturing,1.7529775888523886
IN0014328627,MUNDRA SOLAR TECHNOPARK PRIVATE LIMITED,8721.0,Services,1.7162434622439857
IN0015497134,FC TECNRGY PRIVATE LIMITED,3999.0,Manufacturing,1.6418798517596747
IN0002293906,DEDICATED FREIGHT CORRIDOR CORPORATION OF INDIA LIMITED,4212.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",1.3206737452362818
IN0015543214,VIVIFI INDIA FINANCE PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",1.2990125081089798
IN0002999178,GAJANAN FERRO PRIVATE LIMITED,3312.0,Manufacturing,1.2525417602310522
IN0002070845,CIGNA HEALTH SOLUTIONS INDIA PRIVATE LIMITED,7299.0,Services,1.182049983369632
IN0000219793,SHIVA DISTILLERIES PRIVATE LIMITED,2085.0,Manufacturing,1.1366818481080236
IN0002195782,CYBERABAD CONVENTION CENTRE PRIVATE LIMITED,7021.0,Services,1.1139055614076283
IN001576262IND,K.P.I. GLOBAL INFRASTRUCTURE LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",1.1018365713076843
IN0009925975,RAJ PROCESS EQUIPMENTS AND SYSTEMS PRIVATE LIMITED,3559.0,Manufacturing,1.0931825152904526
IN0008481465,MUMTAZ HOTELS LIMITED,7011.0,Services,1.0773667601772197
IN0012433588,SUPREME HOUSING FINANCE LIMITED,6019.0,"Finance, Insurance, and Real Estate",1.039729681787886
IN116746FI,K.P. ENERGY LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",1.0270202777693436
IN0012426037,TACO AIR INTERNATIONAL THERMAL SYSTEMS PRIVATE LIMITED,3564.0,Manufacturing,0.998124163534535
IN0010858162,MANN TOURIST TRANSPORT SERVICE PRIVATE LIMITED,5571.0,Retail Trade,0.9817899320533264
IN30310FI,HINDUSTAN OIL EXPLORATION COMPANY LIMITED,1311.0,Mining,0.9637907941557659
IN0001832859,BLACK DIAMOND MOTORS PRIVATE LIMITED,3711.0,Manufacturing,0.8894846863070467
IN0000307701,ORIENTAL POWER CABLES LTD,3679.0,Manufacturing,0.8870421199694477
